Amount,Average,Candidates,Chamber,District,State,Year
"$66,989","$33,495",2,House of Representatives,15,Hawaii,2016
"$136,075","$45,358",3,House of Representatives,15,Hawaii,2014
"$42,950","$42,950",1,House of Representatives,15,Hawaii,2012
"$31,360","$10,453",3,House of Representatives,15,Hawaii,2010
"$16,550","$16,550",1,House of Representatives,15,Hawaii,2008
"$77,033","$25,678",3,House of Representatives,15,Hawaii,2006
"$5,831","$1,944",3,House of Representatives,15,Hawaii,2004
"$1,738",$579,3,House of Representatives,15,Hawaii,2002
"$24,996","$2,777",9,House of Representatives,15,Hawaii,2000
"$453,447","$15,115",30,House of Representatives,15,Hawaii,Total
"$65,743","$32,872",2,House of Representatives,16,Hawaii,2018
"$36,935","$18,468",2,House of Representatives,16,Hawaii,2016
"$40,771","$10,193",4,House of Representatives,16,Hawaii,2014
"$29,773","$14,887",2,House of Representatives,16,Hawaii,2012
"$96,865","$32,288",3,House of Representatives,16,Hawaii,2010
"$29,995","$29,995",1,House of Representatives,16,Hawaii,2008
"$35,396","$11,799",3,House of Representatives,16,Hawaii,2006
"$36,743","$18,372",2,House of Representatives,16,Hawaii,2004
"$36,575","$12,192",3,House of Representatives,16,Hawaii,2002
"$22,960","$22,960",1,House of Representatives,16,Hawaii,2000
"$431,756","$18,772",23,House of Representatives,16,Hawaii,Total
"$51,792","$25,896",2,House of Representatives,17,Hawaii,2018
"$57,901","$28,951",2,House of Representatives,17,Hawaii,2016
"$45,346","$22,673",2,House of Representatives,17,Hawaii,2014
"$32,880","$32,880",1,House of Representatives,17,Hawaii,2012
"$55,198","$55,198",1,House of Representatives,17,Hawaii,2010
"$140,246","$70,123",2,House of Representatives,17,Hawaii,2008
"$95,509","$47,755",2,House of Representatives,17,Hawaii,2006
"$116,650","$38,883",3,House of Representatives,17,Hawaii,2004
"$5,155","$5,155",1,House of Representatives,17,Hawaii,2002
"$90,511","$90,511",1,House of Representatives,17,Hawaii,2000
"$691,188","$40,658",17,House of Representatives,17,Hawaii,Total
"$35,044","$17,522",2,House of Representatives,18,Hawaii,2018
"$34,300","$34,300",1,House of Representatives,18,Hawaii,2016
"$72,837","$36,419",2,House of Representatives,18,Hawaii,2014
"$116,389","$38,796",3,House of Representatives,18,Hawaii,2012
"$123,806","$30,952",4,House of Representatives,18,Hawaii,2010
"$15,458","$15,458",1,House of Representatives,18,Hawaii,2008
"$83,444","$41,722",2,House of Representatives,18,Hawaii,2006
"$88,335","$29,445",3,House of Representatives,18,Hawaii,2004
"$1,000","$1,000",1,House of Representatives,18,Hawaii,2002
"$59,713","$29,857",2,House of Representatives,18,Hawaii,2000
"$630,326","$30,016",21,House of Representatives,18,Hawaii,Total
"$20,425","$20,425",1,House of Representatives,19,Hawaii,2018
"$23,642","$7,881",3,House of Representatives,19,Hawaii,2016
"$44,332","$14,777",3,House of Representatives,19,Hawaii,2014
"$62,714","$20,905",3,House of Representatives,19,Hawaii,2012
"$66,575","$66,575",1,House of Representatives,19,Hawaii,2010
"$80,212","$40,106",2,House of Representatives,19,Hawaii,2008
"$93,059","$46,530",2,House of Representatives,19,Hawaii,2006
"$107,977","$53,989",2,House of Representatives,19,Hawaii,2004
"$44,851","$22,426",2,House of Representatives,19,Hawaii,2002
"$32,559","$16,280",2,House of Representatives,19,Hawaii,2000
"$576,346","$27,445",21,House of Representatives,19,Hawaii,Total
"$64,065","$21,355",3,House of Representatives,20,Hawaii,2018
"$131,158","$65,579",2,House of Representatives,20,Hawaii,2016
"$79,862","$26,621",3,House of Representatives,20,Hawaii,2014
"$226,653","$56,663",4,House of Representatives,20,Hawaii,2012
"$68,534","$22,845",3,House of Representatives,20,Hawaii,2010
"$44,648","$22,324",2,House of Representatives,20,Hawaii,2008
"$51,713","$25,857",2,House of Representatives,20,Hawaii,2006
"$100,051","$50,026",2,House of Representatives,20,Hawaii,2004
"$34,910","$11,637",3,House of Representatives,20,Hawaii,2002
"$27,180","$13,590",2,House of Representatives,20,Hawaii,2000
"$828,774","$31,876",26,House of Representatives,20,Hawaii,Total
"$82,816","$82,816",1,House of Representatives,21,Hawaii,2018
"$45,789","$45,789",1,House of Representatives,21,Hawaii,2016
"$86,149","$43,075",2,House of Representatives,21,Hawaii,2014
"$43,845","$21,923",2,House of Representatives,21,Hawaii,2012
"$18,432","$9,216",2,House of Representatives,21,Hawaii,2010
"$37,164","$37,164",1,House of Representatives,21,Hawaii,2008
"$62,424","$31,212",2,House of Representatives,21,Hawaii,2006
"$71,502","$35,751",2,House of Representatives,21,Hawaii,2004
"$50,554","$25,277",2,House of Representatives,21,Hawaii,2002
"$32,801","$6,560",5,House of Representatives,21,Hawaii,2000
"$531,476","$26,574",20,House of Representatives,21,Hawaii,Total
"$36,170","$18,085",2,House of Representatives,22,Hawaii,2018
"$65,243","$16,311",4,House of Representatives,22,Hawaii,2016
"$67,571","$33,786",2,House of Representatives,22,Hawaii,2014
"$20,000","$10,000",2,House of Representatives,22,Hawaii,2012
"$11,510","$5,755",2,House of Representatives,22,Hawaii,2010
"$7,857","$7,857",1,House of Representatives,22,Hawaii,2008
"$10,109","$5,055",2,House of Representatives,22,Hawaii,2006
"$42,310","$21,155",2,House of Representatives,22,Hawaii,2004
"$55,932","$18,644",3,House of Representatives,22,Hawaii,2002
"$75,277","$18,819",4,House of Representatives,22,Hawaii,2000
"$391,979","$16,332",24,House of Representatives,22,Hawaii,Total
"$158,803","$31,761",5,House of Representatives,23,Hawaii,2018
"$132,766","$66,383",2,House of Representatives,23,Hawaii,2016
"$57,245","$28,623",2,House of Representatives,23,Hawaii,2014
"$74,576","$37,288",2,House of Representatives,23,Hawaii,2012
"$22,925","$11,463",2,House of Representatives,23,Hawaii,2010
"$75,245","$37,623",2,House of Representatives,23,Hawaii,2008
"$107,453","$21,491",5,House of Representatives,23,Hawaii,2006
"$51,323","$17,108",3,House of Representatives,23,Hawaii,2004
"$23,599","$11,800",2,House of Representatives,23,Hawaii,2002
"$122,490","$61,245",2,House of Representatives,23,Hawaii,2000
"$826,425","$30,608",27,House of Representatives,23,Hawaii,Total
"$58,750","$58,750",1,House of Representatives,24,Hawaii,2018
"$68,697","$17,174",4,House of Representatives,24,Hawaii,2016
"$34,800","$17,400",2,House of Representatives,24,Hawaii,2014
"$33,419","$11,140",3,House of Representatives,24,Hawaii,2012
"$49,425","$16,475",3,House of Representatives,24,Hawaii,2010
"$133,504","$66,752",2,House of Representatives,24,Hawaii,2008
"$80,803","$40,402",2,House of Representatives,24,Hawaii,2006
"$98,468","$49,234",2,House of Representatives,24,Hawaii,2004
"$53,724","$10,745",5,House of Representatives,24,Hawaii,2002
"$60,467","$20,156",3,House of Representatives,24,Hawaii,2000
"$672,057","$24,891",27,House of Representatives,24,Hawaii,Total
"$234,227","$234,227",1,House of Representatives,25,Hawaii,2018
"$220,387","$220,387",1,House of Representatives,25,Hawaii,2016
"$163,764","$81,882",2,House of Representatives,25,Hawaii,2014
"$35,565","$35,565",1,House of Representatives,25,Hawaii,2012
"$39,706","$9,927",4,House of Representatives,25,Hawaii,2010
"$16,767","$16,767",1,House of Representatives,25,Hawaii,2008
"$138,963","$34,741",4,House of Representatives,25,Hawaii,2006
"$109,752","$54,876",2,House of Representatives,25,Hawaii,2004
"$20,738","$6,913",3,House of Representatives,25,Hawaii,2002
"$72,314","$36,157",2,House of Representatives,25,Hawaii,2000
"$1,052,183","$50,104",21,House of Representatives,25,Hawaii,Total
"$153,330","$153,330",1,House of Representatives,26,Hawaii,2018
"$84,604","$84,604",1,House of Representatives,26,Hawaii,2016
"$100,047","$50,024",2,House of Representatives,26,Hawaii,2014
"$93,700","$23,425",4,House of Representatives,26,Hawaii,2012
"$40,393","$13,464",3,House of Representatives,26,Hawaii,2010
"$41,127","$41,127",1,House of Representatives,26,Hawaii,2008
"$111,266","$55,633",2,House of Representatives,26,Hawaii,2006
"$126,591","$63,296",2,House of Representatives,26,Hawaii,2004
"$40,048","$20,024",2,House of Representatives,26,Hawaii,2002
"$30,105","$15,053",2,House of Representatives,26,Hawaii,2000
"$821,211","$41,061",20,House of Representatives,26,Hawaii,Total
"$62,377","$31,188",2,House of Representatives,27,Hawaii,2018
"$39,225","$39,225",1,House of Representatives,27,Hawaii,2016
"$150,316","$75,158",2,House of Representatives,27,Hawaii,2014
"$66,120","$22,040",3,House of Representatives,27,Hawaii,2012
"$23,320","$11,660",2,House of Representatives,27,Hawaii,2010
"$88,726","$44,363",2,House of Representatives,27,Hawaii,2008
"$53,805","$26,903",2,House of Representatives,27,Hawaii,2006
"$81,625","$27,208",3,House of Representatives,27,Hawaii,2004
"$48,042","$12,011",4,House of Representatives,27,Hawaii,2002
"$52,733","$17,578",3,House of Representatives,27,Hawaii,2000
"$666,289","$27,762",24,House of Representatives,27,Hawaii,Total
"$52,175","$52,175",1,House of Representatives,28,Hawaii,2018
"$67,761","$22,587",3,House of Representatives,28,Hawaii,2016
"$69,376","$34,688",2,House of Representatives,28,Hawaii,2014
"$105,504","$52,752",2,House of Representatives,28,Hawaii,2012
"$155,413","$77,707",2,House of Representatives,28,Hawaii,2010
"$43,042","$43,042",1,House of Representatives,28,Hawaii,2008
"$119,236","$29,809",4,House of Representatives,28,Hawaii,2006
"$184,701","$92,351",2,House of Representatives,28,Hawaii,2004
"$16,825","$8,413",2,House of Representatives,28,Hawaii,2002
"$54,071","$54,071",1,House of Representatives,28,Hawaii,2000
"$868,104","$43,405",20,House of Representatives,28,Hawaii,Total
"$50,780","$25,390",2,House of Representatives,29,Hawaii,2018
"$72,106","$12,018",6,House of Representatives,29,Hawaii,2016
"$41,140","$41,140",1,House of Representatives,29,Hawaii,2014
"$82,908","$41,454",2,House of Representatives,29,Hawaii,2012
"$35,935","$11,978",3,House of Representatives,29,Hawaii,2010
"$49,768","$24,884",2,House of Representatives,29,Hawaii,2008
"$136,302","$45,434",3,House of Representatives,29,Hawaii,2006
"$36,564","$18,282",2,House of Representatives,29,Hawaii,2004
"$17,976","$5,992",3,House of Representatives,29,Hawaii,2002
"$36,789","$12,263",3,House of Representatives,29,Hawaii,2000
"$560,268","$20,751",27,House of Representatives,29,Hawaii,Total
"$34,350","$11,450",3,House of Representatives,30,Hawaii,2018
"$20,635","$10,318",2,House of Representatives,30,Hawaii,2016
"$27,075","$27,075",1,House of Representatives,30,Hawaii,2014
"$97,078","$48,539",2,House of Representatives,30,Hawaii,2012
"$77,835","$38,918",2,House of Representatives,30,Hawaii,2010
"$37,287","$37,287",1,House of Representatives,30,Hawaii,2008
"$179,853","$25,693",7,House of Representatives,30,Hawaii,2006
"$39,090","$19,545",2,House of Representatives,30,Hawaii,2004
"$20,375","$10,188",2,House of Representatives,30,Hawaii,2002
"$12,836","$3,209",4,House of Representatives,30,Hawaii,2000
"$546,414","$21,016",26,House of Representatives,30,Hawaii,Total
"$67,919","$67,919",1,House of Representatives,31,Hawaii,2018
"$68,989","$34,495",2,House of Representatives,31,Hawaii,2016
"$90,199","$45,100",2,House of Representatives,31,Hawaii,2014
"$80,816","$20,204",4,House of Representatives,31,Hawaii,2012
"$141,912","$28,382",5,House of Representatives,31,Hawaii,2010
"$24,285","$24,285",1,House of Representatives,31,Hawaii,2008
"$57,601","$28,801",2,House of Representatives,31,Hawaii,2006
"$75,181","$37,591",2,House of Representatives,31,Hawaii,2004
$131,$44,3,House of Representatives,31,Hawaii,2002
"$17,192","$17,192",1,House of Representatives,31,Hawaii,2000
"$624,225","$27,140",23,House of Representatives,31,Hawaii,Total
"$25,009","$25,009",1,House of Representatives,32,Hawaii,2018
"$42,650","$42,650",1,House of Representatives,32,Hawaii,2016
"$69,130","$34,565",2,House of Representatives,32,Hawaii,2014
"$72,551","$36,276",2,House of Representatives,32,Hawaii,2012
"$84,448","$21,112",4,House of Representatives,32,Hawaii,2010
"$41,272","$41,272",1,House of Representatives,32,Hawaii,2008
"$42,348","$21,174",2,House of Representatives,32,Hawaii,2006
$666,$666,1,House of Representatives,32,Hawaii,2004
$875,$438,2,House of Representatives,32,Hawaii,2002
"$3,280","$1,640",2,House of Representatives,32,Hawaii,2000
"$382,229","$21,235",18,House of Representatives,32,Hawaii,Total
"$80,093","$26,698",3,House of Representatives,33,Hawaii,2018
"$6,019","$3,010",2,House of Representatives,33,Hawaii,2016
"$80,888","$20,222",4,House of Representatives,33,Hawaii,2014
"$199,106","$66,369",3,House of Representatives,33,Hawaii,2012
"$98,772","$32,924",3,House of Representatives,33,Hawaii,2010
"$13,000","$13,000",1,House of Representatives,33,Hawaii,2008
"$30,202","$15,101",2,House of Representatives,33,Hawaii,2006
"$169,405","$84,703",2,House of Representatives,33,Hawaii,2004
"$16,549","$8,275",2,House of Representatives,33,Hawaii,2002
"$26,945","$13,473",2,House of Representatives,33,Hawaii,2000
"$720,979","$30,041",24,House of Representatives,33,Hawaii,Total
"$23,455","$23,455",1,House of Representatives,34,Hawaii,2018
"$66,928","$33,464",2,House of Representatives,34,Hawaii,2016
"$65,214","$32,607",2,House of Representatives,34,Hawaii,2014
"$61,285","$30,643",2,House of Representatives,34,Hawaii,2012
"$83,030","$41,515",2,House of Representatives,34,Hawaii,2010
"$95,011","$95,011",1,House of Representatives,34,Hawaii,2008
"$78,122","$78,122",1,House of Representatives,34,Hawaii,2006
"$51,118","$51,118",1,House of Representatives,34,Hawaii,2004
$5,$5,1,House of Representatives,34,Hawaii,2002
"$77,481","$77,481",1,House of Representatives,34,Hawaii,2000
"$601,649","$42,975",14,House of Representatives,34,Hawaii,Total
"$54,733","$54,733",1,House of Representatives,35,Hawaii,2018
"$23,275","$11,638",2,House of Representatives,35,Hawaii,2016
"$44,115","$22,058",2,House of Representatives,35,Hawaii,2014
"$22,620","$22,620",1,House of Representatives,35,Hawaii,2012
"$46,189","$15,396",3,House of Representatives,35,Hawaii,2010
"$112,058","$18,676",6,House of Representatives,35,Hawaii,2008
"$30,300","$15,150",2,House of Representatives,35,Hawaii,2006
"$44,114","$14,705",3,House of Representatives,35,Hawaii,2004
"$30,171","$7,543",4,House of Representatives,35,Hawaii,2002
"$20,080","$6,693",3,House of Representatives,35,Hawaii,2000
"$427,655","$15,839",27,House of Representatives,35,Hawaii,Total
"$127,403","$25,481",5,House of Representatives,36,Hawaii,2018
"$81,394","$27,131",3,House of Representatives,36,Hawaii,2016
"$125,970","$41,990",3,House of Representatives,36,Hawaii,2014
"$83,285","$27,762",3,House of Representatives,36,Hawaii,2012
"$62,607","$31,304",2,House of Representatives,36,Hawaii,2010
"$32,480","$32,480",1,House of Representatives,36,Hawaii,2008
"$38,695","$19,348",2,House of Representatives,36,Hawaii,2006
"$28,907","$14,454",2,House of Representatives,36,Hawaii,2004
"$27,087","$6,772",4,House of Representatives,36,Hawaii,2002
"$49,610","$16,537",3,House of Representatives,36,Hawaii,2000
"$657,438","$23,480",28,House of Representatives,36,Hawaii,Total
"$65,065","$32,533",2,House of Representatives,37,Hawaii,2018
"$59,491","$29,746",2,House of Representatives,37,Hawaii,2016
"$71,893","$35,947",2,House of Representatives,37,Hawaii,2014
"$85,446","$42,723",2,House of Representatives,37,Hawaii,2012
"$93,257","$46,629",2,House of Representatives,37,Hawaii,2010
"$47,794","$47,794",1,House of Representatives,37,Hawaii,2008
"$54,524","$27,262",2,House of Representatives,37,Hawaii,2006
"$79,152","$39,576",2,House of Representatives,37,Hawaii,2004
"$31,539","$6,308",5,House of Representatives,37,Hawaii,2002
"$25,157","$25,157",1,House of Representatives,37,Hawaii,2000
"$613,318","$29,206",21,House of Representatives,37,Hawaii,Total
"$48,445","$48,445",1,House of Representatives,38,Hawaii,2018
"$52,305","$52,305",1,House of Representatives,38,Hawaii,2016
"$73,136","$36,568",2,House of Representatives,38,Hawaii,2014
"$26,865","$26,865",1,House of Representatives,38,Hawaii,2012
"$46,293","$11,573",4,House of Representatives,38,Hawaii,2010
"$31,941","$15,971",2,House of Representatives,38,Hawaii,2008
"$41,240","$20,620",2,House of Representatives,38,Hawaii,2006
"$68,788","$34,394",2,House of Representatives,38,Hawaii,2004
"$13,194","$6,597",2,House of Representatives,38,Hawaii,2002
"$33,769","$11,256",3,House of Representatives,38,Hawaii,2000
"$435,976","$21,799",20,House of Representatives,38,Hawaii,Total
"$83,360","$83,360",1,House of Representatives,39,Hawaii,2018
"$59,795","$59,795",1,House of Representatives,39,Hawaii,2016
"$40,740","$40,740",1,House of Representatives,39,Hawaii,2014
"$46,255","$23,128",2,House of Representatives,39,Hawaii,2012
"$77,037","$38,519",2,House of Representatives,39,Hawaii,2010
"$74,541","$74,541",1,House of Representatives,39,Hawaii,2008
"$23,014","$11,507",2,House of Representatives,39,Hawaii,2006
"$16,153","$8,077",2,House of Representatives,39,Hawaii,2004
"$22,112","$7,371",3,House of Representatives,39,Hawaii,2002
"$32,927","$10,976",3,House of Representatives,39,Hawaii,2000
"$475,934","$26,441",18,House of Representatives,39,Hawaii,Total
"$55,568","$18,523",3,House of Representatives,40,Hawaii,2018
"$73,332","$24,444",3,House of Representatives,40,Hawaii,2016
"$67,673","$22,558",3,House of Representatives,40,Hawaii,2014
"$69,724","$9,961",7,House of Representatives,40,Hawaii,2012
"$74,998","$24,999",3,House of Representatives,40,Hawaii,2010
"$86,820","$43,410",2,House of Representatives,40,Hawaii,2008
"$81,261","$27,087",3,House of Representatives,40,Hawaii,2006
"$40,423","$13,474",3,House of Representatives,40,Hawaii,2004
"$32,280","$8,070",4,House of Representatives,40,Hawaii,2002
"$13,529","$6,765",2,House of Representatives,40,Hawaii,2000
"$595,608","$18,049",33,House of Representatives,40,Hawaii,Total
"$36,440","$18,220",2,House of Representatives,41,Hawaii,2018
"$62,697","$31,349",2,House of Representatives,41,Hawaii,2016
"$82,155","$16,431",5,House of Representatives,41,Hawaii,2014
"$58,985","$19,662",3,House of Representatives,41,Hawaii,2012
"$65,522","$10,920",6,House of Representatives,41,Hawaii,2010
"$84,270","$28,090",3,House of Representatives,41,Hawaii,2008
"$55,682","$27,841",2,House of Representatives,41,Hawaii,2006
"$80,968","$40,484",2,House of Representatives,41,Hawaii,2004
"$24,735","$6,184",4,House of Representatives,41,Hawaii,2002
"$15,085","$2,514",6,House of Representatives,41,Hawaii,2000
"$566,539","$16,187",35,House of Representatives,41,Hawaii,Total
"$50,712","$25,356",2,House of Representatives,42,Hawaii,2018
"$40,013","$40,013",1,House of Representatives,42,Hawaii,2016
"$106,180","$26,545",4,House of Representatives,42,Hawaii,2014
"$68,237","$34,119",2,House of Representatives,42,Hawaii,2012
"$56,690","$18,897",3,House of Representatives,42,Hawaii,2010
"$62,244","$15,561",4,House of Representatives,42,Hawaii,2008
"$38,151","$12,717",3,House of Representatives,42,Hawaii,2006
"$18,976","$3,795",5,House of Representatives,42,Hawaii,2004
"$12,315","$2,463",5,House of Representatives,42,Hawaii,2002
"$35,909","$11,970",3,House of Representatives,42,Hawaii,2000
"$489,427","$15,295",32,House of Representatives,42,Hawaii,Total
"$21,068","$5,267",4,House of Representatives,43,Hawaii,2018
"$101,838","$33,946",3,House of Representatives,43,Hawaii,2016
"$112,375","$37,458",3,House of Representatives,43,Hawaii,2014
"$38,920","$6,487",6,House of Representatives,43,Hawaii,2012
"$95,585","$31,862",3,House of Representatives,43,Hawaii,2010
"$73,183","$36,592",2,House of Representatives,43,Hawaii,2008
"$60,543","$30,272",2,House of Representatives,43,Hawaii,2006
"$166,127","$41,532",4,House of Representatives,43,Hawaii,2004
"$20,577","$4,115",5,House of Representatives,43,Hawaii,2002
"$32,414","$10,805",3,House of Representatives,43,Hawaii,2000
"$722,630","$20,647",35,House of Representatives,43,Hawaii,Total
"$50,411","$25,205",2,House of Representatives,44,Hawaii,2018
"$108,374","$27,094",4,House of Representatives,44,Hawaii,2016
"$35,278","$11,759",3,House of Representatives,44,Hawaii,2014
"$42,529","$14,176",3,House of Representatives,44,Hawaii,2012
"$16,355","$4,089",4,House of Representatives,44,Hawaii,2010
"$27,601","$9,200",3,House of Representatives,44,Hawaii,2008
"$49,946","$12,487",4,House of Representatives,44,Hawaii,2006
"$73,261","$36,631",2,House of Representatives,44,Hawaii,2004
"$14,655","$7,328",2,House of Representatives,44,Hawaii,2002
"$32,004","$6,401",5,House of Representatives,44,Hawaii,2000
"$450,414","$14,075",32,House of Representatives,44,Hawaii,Total
"$29,020","$29,020",1,House of Representatives,45,Hawaii,2018
"$40,635","$40,635",1,House of Representatives,45,Hawaii,2016
"$81,052","$40,526",2,House of Representatives,45,Hawaii,2014
"$99,463","$33,154",3,House of Representatives,45,Hawaii,2012
"$48,411","$9,682",5,House of Representatives,45,Hawaii,2010
"$54,010","$18,003",3,House of Representatives,45,Hawaii,2008
"$27,596","$13,798",2,House of Representatives,45,Hawaii,2006
"$41,137","$10,284",4,House of Representatives,45,Hawaii,2004
"$41,697","$10,424",4,House of Representatives,45,Hawaii,2002
"$10,443","$1,741",6,House of Representatives,45,Hawaii,2000
"$473,464","$15,273",31,House of Representatives,45,Hawaii,Total
"$84,263","$21,066",4,House of Representatives,46,Hawaii,2018
"$27,002","$13,501",2,House of Representatives,46,Hawaii,2016
"$26,458","$26,458",1,House of Representatives,46,Hawaii,2014
"$80,354","$40,177",2,House of Representatives,46,Hawaii,2012
"$74,374","$14,875",5,House of Representatives,46,Hawaii,2010
"$152,241","$30,448",5,House of Representatives,46,Hawaii,2008
"$193,431","$64,477",3,House of Representatives,46,Hawaii,2006
"$146,629","$73,315",2,House of Representatives,46,Hawaii,2004
"$32,501","$16,251",2,House of Representatives,46,Hawaii,2002
"$31,316","$7,829",4,House of Representatives,46,Hawaii,2000
"$848,569","$28,286",30,House of Representatives,46,Hawaii,Total
"$72,930","$24,310",3,House of Representatives,47,Hawaii,2018
"$62,892","$20,964",3,House of Representatives,47,Hawaii,2016
"$68,456","$34,228",2,House of Representatives,47,Hawaii,2014
"$87,548","$29,183",3,House of Representatives,47,Hawaii,2012
"$104,333","$52,167",2,House of Representatives,47,Hawaii,2010
"$107,370","$35,790",3,House of Representatives,47,Hawaii,2008
"$12,810","$12,810",1,House of Representatives,47,Hawaii,2006
"$15,179","$5,060",3,House of Representatives,47,Hawaii,2004
"$26,570","$6,643",4,House of Representatives,47,Hawaii,2002
"$52,070","$26,035",2,House of Representatives,47,Hawaii,2000
"$610,158","$23,468",26,House of Representatives,47,Hawaii,Total
"$154,898","$38,725",4,House of Representatives,48,Hawaii,2018
"$37,615","$37,615",1,House of Representatives,48,Hawaii,2016
"$189,777","$37,955",5,House of Representatives,48,Hawaii,2014
"$118,928","$59,464",2,House of Representatives,48,Hawaii,2012
"$78,141","$26,047",3,House of Representatives,48,Hawaii,2010
"$54,891","$54,891",1,House of Representatives,48,Hawaii,2008
"$50,512","$25,256",2,House of Representatives,48,Hawaii,2006
"$115,524","$57,762",2,House of Representatives,48,Hawaii,2004
"$36,283","$18,142",2,House of Representatives,48,Hawaii,2002
"$57,206","$28,603",2,House of Representatives,48,Hawaii,2000
"$893,775","$37,241",24,House of Representatives,48,Hawaii,Total
"$140,590","$28,118",5,House of Representatives,49,Hawaii,2018
"$74,025","$37,013",2,House of Representatives,49,Hawaii,2016
"$38,350","$38,350",1,House of Representatives,49,Hawaii,2014
"$37,333","$37,333",1,House of Representatives,49,Hawaii,2012
"$49,861","$12,465",4,House of Representatives,49,Hawaii,2010
"$21,475","$21,475",1,House of Representatives,49,Hawaii,2008
"$52,268","$17,423",3,House of Representatives,49,Hawaii,2006
"$105,125","$52,563",2,House of Representatives,49,Hawaii,2004
"$29,257","$9,752",3,House of Representatives,49,Hawaii,2002
"$13,442","$13,442",1,House of Representatives,49,Hawaii,2000
"$561,726","$24,423",23,House of Representatives,49,Hawaii,Total
"$48,110","$16,037",3,House of Representatives,50,Hawaii,2018
"$45,654","$22,827",2,House of Representatives,50,Hawaii,2016
"$87,388","$29,129",3,House of Representatives,50,Hawaii,2014
"$19,410","$19,410",1,House of Representatives,50,Hawaii,2012
"$16,130","$16,130",1,House of Representatives,50,Hawaii,2010
"$22,527","$22,527",1,House of Representatives,50,Hawaii,2008
"$21,060","$21,060",1,House of Representatives,50,Hawaii,2006
"$25,205","$12,603",2,House of Representatives,50,Hawaii,2004
"$23,290","$11,645",2,House of Representatives,50,Hawaii,2002
"$36,274","$18,137",2,House of Representatives,50,Hawaii,2000
"$345,048","$19,169",18,House of Representatives,50,Hawaii,Total
"$48,816","$24,408",2,House of Representatives,51,Hawaii,2018
"$46,456","$46,456",1,House of Representatives,51,Hawaii,2016
"$176,598","$88,299",2,House of Representatives,51,Hawaii,2014
"$34,037","$17,019",2,House of Representatives,51,Hawaii,2012
"$37,323","$18,662",2,House of Representatives,51,Hawaii,2010
"$258,714","$64,679",4,House of Representatives,51,Hawaii,2008
"$41,265","$20,633",2,House of Representatives,51,Hawaii,2006
"$135,566","$67,783",2,House of Representatives,51,Hawaii,2004
"$56,909","$18,970",3,House of Representatives,51,Hawaii,2002
"$40,986","$13,662",3,House of Representatives,51,Hawaii,2000
"$876,670","$38,116",23,House of Representatives,51,Hawaii,Total
"$83,875","$20,969",4,State Senate,1,Idaho,2018
"$155,687","$51,896",3,State Senate,1,Idaho,2016
"$105,261","$26,315",4,State Senate,1,Idaho,2014
"$86,203","$28,734",3,State Senate,1,Idaho,2012
"$32,996","$16,498",2,State Senate,1,Idaho,2010
"$45,510","$15,170",3,State Senate,1,Idaho,2008
"$55,498","$27,749",2,State Senate,1,Idaho,2006
"$34,229","$17,115",2,State Senate,1,Idaho,2004
"$24,568","$12,284",2,State Senate,1,Idaho,2002
"$38,063","$9,516",4,State Senate,1,Idaho,2000
"$661,890","$22,824",29,State Senate,1,Idaho,Total
"$43,329","$14,443",3,State Senate,2,Idaho,2018
"$10,960","$10,960",1,State Senate,2,Idaho,2016
"$8,123","$8,123",1,State Senate,2,Idaho,2014
"$54,417","$18,139",3,State Senate,2,Idaho,2012
"$59,156","$19,719",3,State Senate,2,Idaho,2010
"$78,408","$19,602",4,State Senate,2,Idaho,2008
"$60,555","$30,278",2,State Senate,2,Idaho,2006
"$43,155","$21,578",2,State Senate,2,Idaho,2004
"$22,009","$7,336",3,State Senate,2,Idaho,2002
"$17,504","$5,835",3,State Senate,2,Idaho,2000
"$397,616","$15,905",25,State Senate,2,Idaho,Total
"$25,301","$12,651",2,State Senate,3,Idaho,2018
"$19,388","$19,388",1,State Senate,3,Idaho,2016
"$80,250","$26,750",3,State Senate,3,Idaho,2014
"$19,023","$9,512",2,State Senate,3,Idaho,2012
"$59,053","$29,527",2,State Senate,3,Idaho,2010
"$51,548","$25,774",2,State Senate,3,Idaho,2008
"$35,771","$11,924",3,State Senate,3,Idaho,2006
"$56,011","$18,670",3,State Senate,3,Idaho,2004
"$35,446","$11,815",3,State Senate,3,Idaho,2002
"$36,723","$12,241",3,State Senate,3,Idaho,2000
"$418,514","$17,438",24,State Senate,3,Idaho,Total
"$82,491","$27,497",3,State Senate,4,Idaho,2018
"$41,612","$20,806",2,State Senate,4,Idaho,2016
"$44,412","$14,804",3,State Senate,4,Idaho,2014
"$38,144","$12,715",3,State Senate,4,Idaho,2012
"$39,357","$13,119",3,State Senate,4,Idaho,2010
"$131,519","$43,840",3,State Senate,4,Idaho,2008
"$62,371","$15,593",4,State Senate,4,Idaho,2006
"$10,550","$10,550",1,State Senate,4,Idaho,2004
"$46,529","$9,306",5,State Senate,4,Idaho,2002
"$2,775","$2,775",1,State Senate,4,Idaho,2000
"$499,760","$17,849",28,State Senate,4,Idaho,Total
"$113,982","$37,994",3,State Senate,5,Idaho,2018
"$61,032","$20,344",3,State Senate,5,Idaho,2016
"$52,216","$26,108",2,State Senate,5,Idaho,2014
"$61,482","$20,494",3,State Senate,5,Idaho,2012
"$50,464","$16,821",3,State Senate,5,Idaho,2010
"$20,464","$20,464",1,State Senate,5,Idaho,2008
